Folio Emetrix,REGIÓN,CIUDAD,ESTADO,GRUPO,CADENA,VOLT,Longitud,Latitud,Volt (burbuja),Folio más cercano,Distancia mín (km),Volt tienda cercana,Volt vs cercana,periodo
153919,NORTE,HIDALGO DE PARRAL,CHIHUAHUA,ABASTECEDORA COMERCIAL DE PARRAL,ABASTECEDORA COMERCIAL DE PARRAL,292.5,-105.6716421,26.95217604,292.5,153917,1.449668802,292.5,0,13/07/2026-18/07/2026
153920,NORTE,HIDALGO DE PARRAL,CHIHUAHUA,ABASTECEDORA COMERCIAL DE PARRAL,ABASTECEDORA COMERCIAL DE PARRAL,298.5,-105.6694336,26.92609718,298.5,154148,0.360198776,281.85,16.65,13/07/2026-18/07/2026
153921,NORTE,HIDALGO DE PARRAL,CHIHUAHUA,ABASTECEDORA COMERCIAL DE PARRAL,ABASTECEDORA COMERCIAL DE PARRAL,298.5,-105.663225,26.92675708,298.5,154148,0.27440342,281.85,16.65,13/07/2026-18/07/2026
153922,NORTE,HIDALGO DE PARRAL,CHIHUAHUA,ABASTECEDORA COMERCIAL DE PARRAL,ABASTECEDORA COMERCIAL DE PARRAL,292.5,-105.6441943,26.93265396,292.5,153921,1.997348402,298.5,-6,13/07/2026-18/07/2026
153923,NORTE,HIDALGO DE PARRAL,CHIHUAHUA,ABASTECEDORA COMERCIAL DE PARRAL,ABASTECEDORA COMERCIAL DE PARRAL,281.85,-105.6655019,26.93056235,281.85,153968,0.432170213,298.5,-16.65,13/07/2026-18/07/2026
153968,NORTE,HIDALGO DE PARRAL,CHIHUAHUA,ABASTECEDORA COMERCIAL DE PARRAL,ABASTECEDORA COMERCIAL DE PARRAL,298.5,-105.6687127,26.93319129,298.5,153923,0.432170213,281.85,16.65,13/07/2026-18/07/2026
154022,SUR,CHIAPA DE CORZO,CHIAPAS,SANDRA MARISOL DOMINGUEZ,SANDRA MARISOL DOMINGUEZ,262.5,-93.016957,16.7067655,262.5,154023,0.255268623,300,-37.5,13/07/2026-18/07/2026
154023,SUR,CHIAPA DE CORZO,CHIAPAS,VERONICA HERNANDEZ CASTELLANOS,VERONICA HERNANDEZ CASTELLANOS,300,-93.01600483,16.70887227,300,154022,0.255268623,262.5,37.5,13/07/2026-18/07/2026
154024,SUR,TUXTLA,CHIAPAS,NORMA PATRICIA PEREZ JIMENEZ,NORMA PATRICIA PEREZ JIMENEZ,262.5,-93.0984147,16.7918478,262.5,9925064,4.624597595,236,26.5,13/07/2026-18/07/2026
154025,SUR,TUXTLA,CHIAPAS,ANTONI GUILLEN,ANTONI GUILLEN,300,-93.1055624,16.7448974,300,154026,0.048451442,221.5,78.5,13/07/2026-18/07/2026
154026,SUR,TUXTLA,CHIAPAS,AVÍCOLA,AVÍCOLA,221.5,-93.105108,16.7448745,221.5,154025,0.048451442,300,-78.5,13/07/2026-18/07/2026
154134,CENTRO,IZTAPALAPA,MEXICO,CEDA,CEDA,229.95,-99.09313352,19.3757239,229.95,1924029,0.045901811,232.95,-3,13/07/2026-18/07/2026
154135,CENTRO,IZTAPALAPA,MEXICO,CEDA,CEDA,229.95,-99.09329043,19.37767067,229.95,154138,0.06219144,225,4.95,13/07/2026-18/07/2026
154136,CENTRO,IZTAPALAPA,MEXICO,CEDA,CEDA,229.95,-99.0912829,19.3755606,229.95,1923281,0.005111374,228.9,1.05,13/07/2026-18/07/2026
154138,CENTRO,IZTAPALAPA,MEXICO,CEDA,CEDA,225,-99.09388308,19.37768648,225,154135,0.06219144,229.95,-4.95,13/07/2026-18/07/2026
154148,NORTE,HIDALGO DE PARRAL,CHIHUAHUA,ABASTECEDORA COMERCIAL DE PARRAL,ABASTECEDORA COMERCIAL DE PARRAL,281.85,-105.6658091,26.92587296,281.85,153921,0.27440342,298.5,-16.65,13/07/2026-18/07/2026
154151,CENTRO,ATIZAPAN,ESTADO DE MEXICO,CEDA,CEDA,234,-99.2526114,19.5699197,234,1948472,0.046835766,234.9,-0.9,13/07/2026-18/07/2026
154152,CENTRO,ATIZAPAN,ESTADO DE MEXICO,CEDA,CEDA,255,-99.2533331,19.5697561,255,1923343,0.007074976,236.1,18.9,13/07/2026-18/07/2026
154153,CENTRO,ATIZAPAN,ESTADO DE MEXICO,CEDA,CEDA,252,-99.2528175,19.5707915,252,1923744,0.026492128,252.15,-0.15,13/07/2026-18/07/2026
154156,CENTRO,ATIZAPAN,ESTADO DE MEXICO,CEDA,CEDA,300,-99.2528715,19.5705129,300,154158,0,300,0,13/07/2026-18/07/2026
154158,CENTRO,ATIZAPAN,ESTADO DE MEXICO,CEDA,CEDA,300,-99.2528715,19.5705129,300,154156,0,300,0,13/07/2026-18/07/2026
154160,CENTRO,ATIZAPAN,ESTADO DE MEXICO,CEDA,CEDA,300,-99.25320633,19.57144567,300,1923745,0.014511103,237,63,13/07/2026-18/07/2026
154161,NORTE,CHIHUAHUA,CHIHUAHUA,DUERO,DUERO,240,-106.0319762,28.6209078,240,1923425,1.335529672,255,-15,13/07/2026-18/07/2026
154198,CENTRO,CUAUTLA,MORELOS,ABARROTERA FUENTES,ABARROTERA FUENTES,229.5,-98.92972309,18.86745909,229.5,154201,0.277083118,270,-40.5,13/07/2026-18/07/2026
154201,CENTRO,CUAUTLA,MORELOS,ABARROTERA SAN ANTONIO,ABARROTERA SAN ANTONIO,270,-98.932221,18.868248,270,1923362,0.138791128,270,0,13/07/2026-18/07/2026
154292,CENTRO,TEMIXCO,MORELOS,ABARROTERA FUENTES,ABARROTERA FUENTES,229.05,-99.22609257,18.83523329,229.05,154300,4.714316497,262.2,-33.15,13/07/2026-18/07/2026
154293,CENTRO,YAUTEPEC,MORELOS,ABARROTERA FUENTES,ABARROTERA FUENTES,229.05,-99.0593334,18.8872325,229.05,154299,2.086008508,262.35,-33.3,13/07/2026-18/07/2026
154298,CENTRO,CUERNAVACA,MORELOS,ALPE SUPERMERCADOS,ALPE SUPERMERCADOS,262.2,-99.22802476,18.88341764,262.2,1923851,4.730244929,262.35,-0.15,13/07/2026-18/07/2026
154299,CENTRO,YAUTEPEC,MORELOS,ALPE SUPERMERCADOS,ALPE SUPERMERCADOS,262.35,-99.0675914,18.8701773,262.35,154293,2.086008508,229.05,33.3,13/07/2026-18/07/2026
154300,CENTRO,TEZOYUCA,MORELOS,ALPE SUPERMERCADOS,ALPE SUPERMERCADOS,262.2,-99.19787346,18.80230857,262.2,154292,4.714316497,229.05,33.15,13/07/2026-18/07/2026
154317,CENTRO,TEHUACAN,PUEBLA,ABARROTES CADENA,ABARROTES CADENA,247.5,-97.4104187,18.4777732,247.5,1923497,0.703102067,247.5,0,13/07/2026-18/07/2026
154339,SUR,COSCOMATEPEC,VERACRUZ,ABARROTES QUEZADA,ABARROTES QUEZADA,214.95,-97.04482,19.072025,214.95,154444,0.453521258,235.5,-20.55,13/07/2026-18/07/2026
154340,SUR,COSCOMATEPEC,VERACRUZ,ABARROTES QUEZADA,ABARROTES QUEZADA,225,-97.050139,19.073517,225,154339,0.583078161,214.95,10.05,13/07/2026-18/07/2026
154444,SUR,COSCOMATEPEC,VERACRUZ,ABARROTES QUEZADA,ABARROTES QUEZADA,235.5,-97.0413978,19.0745098,235.5,154339,0.453521258,214.95,20.55,13/07/2026-18/07/2026
154570,SUR,VILLAHERMOSA,TABASCO,ABARROTES MONTERREY,ABARROTES MONTERREY,253.5,-92.91487955,17.99578549,253.5,1923507,0.039781996,292.5,-39,13/07/2026-18/07/2026
154571,SUR,VILLAHERMOSA,TABASCO,ABARROTES MONTERREY,ABARROTES MONTERREY,329.55,-92.985932,17.9525179,329.55,154572,0.159919236,292.5,37.05,13/07/2026-18/07/2026
154572,SUR,VILLAHERMOSA,TABASCO,ABARROTES MONTERREY,ABARROTES MONTERREY,292.5,-92.987,17.9515,292.5,154571,0.159919236,329.55,-37.05,13/07/2026-18/07/2026
154575,NORTE,GUADALAJARA,JALISCO,DUERO,DUERO,277.35,-103.290422,20.6657066,277.35,1924074,1.023987321,237.6,39.75,13/07/2026-18/07/2026
154576,NORTE,GUADALAJARA,JALISCO,DUERO,DUERO,277.35,-103.28006,20.67025587,277.35,154577,0.324890989,277.35,0,13/07/2026-18/07/2026
154577,NORTE,GUADALAJARA,JALISCO,DUERO,DUERO,277.35,-103.2772155,20.67146171,277.35,154576,0.324890989,277.35,0,13/07/2026-18/07/2026
154578,NORTE,GUADALAJARA,JALISCO,DUERO,DUERO,277.35,-103.2800138,20.66510706,277.35,154576,0.572541727,277.35,0,13/07/2026-18/07/2026
154579,NORTE,GUADALAJARA,JALISCO,DUERO,DUERO,277.35,-103.2531197,20.6499393,277.35,154592,0.972959731,277.35,0,13/07/2026-18/07/2026
154580,NORTE,GUADALAJARA,JALISCO,DUERO,DUERO,277.35,-103.2789022,20.6529239,277.35,1924102,0.263573296,277.35,0,13/07/2026-18/07/2026
154581,NORTE,GUADALAJARA,JALISCO,DUERO,DUERO,277.35,-103.3254474,20.67220181,277.35,1924104,0.35677452,277.35,0,13/07/2026-18/07/2026
154582,NORTE,GUADALAJARA,JALISCO,DUERO,DUERO,277.35,-103.2727211,20.6662235,277.35,154577,0.74692789,277.35,0,13/07/2026-18/07/2026
154592,NORTE,TONALA,JALISCO,DUERO,DUERO,277.35,-103.2611,20.6545,277.35,154596,0.418933939,277.35,0,13/07/2026-18/07/2026
